Emote Name,Image URL
GlitchLit,https://static-cdn.jtvnw.net/emoticons/v2/304489128/default/dark/3.0
StinkyGlitch,https://static-cdn.jtvnw.net/emoticons/v2/304486324/default/dark/3.0
GlitchCat,https://static-cdn.jtvnw.net/emoticons/v2/304486301/default/dark/3.0
FootGoal,https://static-cdn.jtvnw.net/emoticons/v2/302628617/default/dark/3.0
FootYellow,https://static-cdn.jtvnw.net/emoticons/v2/302628613/default/dark/3.0
FootBall,https://static-cdn.jtvnw.net/emoticons/v2/302628600/default/dark/3.0
BlackLivesMatter,https://static-cdn.jtvnw.net/emoticons/v2/302537250/default/dark/3.0
ExtraLife,https://static-cdn.jtvnw.net/emoticons/v2/302426269/default/dark/3.0
VirtualHug,https://static-cdn.jtvnw.net/emoticons/v2/301696583/default/dark/3.0
R-),https://static-cdn.jtvnw.net/emoticons/v2/555555600/default/dark/3.0
R),https://static-cdn.jtvnw.net/emoticons/v2/555555599/default/dark/3.0
;-p,https://static-cdn.jtvnw.net/emoticons/v2/555555598/default/dark/3.0
;p,https://static-cdn.jtvnw.net/emoticons/v2/555555597/default/dark/3.0
;-P,https://static-cdn.jtvnw.net/emoticons/v2/555555596/default/dark/3.0
;P,https://static-cdn.jtvnw.net/emoticons/v2/555555595/default/dark/3.0
:-p,https://static-cdn.jtvnw.net/emoticons/v2/555555594/default/dark/3.0
:p,https://static-cdn.jtvnw.net/emoticons/v2/555555593/default/dark/3.0
:-P,https://static-cdn.jtvnw.net/emoticons/v2/555555592/default/dark/3.0
:P,https://static-cdn.jtvnw.net/emoticons/v2/555555591/default/dark/3.0
;-),https://static-cdn.jtvnw.net/emoticons/v2/555555590/default/dark/3.0
;),https://static-cdn.jtvnw.net/emoticons/v2/555555589/default/dark/3.0
:-\,https://static-cdn.jtvnw.net/emoticons/v2/555555588/default/dark/3.0
:\,https://static-cdn.jtvnw.net/emoticons/v2/555555587/default/dark/3.0
:-/,https://static-cdn.jtvnw.net/emoticons/v2/555555586/default/dark/3.0
:/,https://static-cdn.jtvnw.net/emoticons/v2/555555585/default/dark/3.0
<3,https://static-cdn.jtvnw.net/emoticons/v2/555555584/default/dark/3.0
:-o,https://static-cdn.jtvnw.net/emoticons/v2/555555583/default/dark/3.0
:o,https://static-cdn.jtvnw.net/emoticons/v2/555555582/default/dark/3.0
